OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
233,usa,na,Shell Basefield AL,no,no,no,na, ,11fdff43-92bc-4afb-a02a-2e633279109f,Shell Basefield AL,act,usa,al,9.37903080284741E-05,0.0385894457561371
234,usa,na,Sierra Army Depot,no,no,no,na, ,09889a49-6407-46da-95d3-517023dd7350,Sierra Army Depot,act,usa,ca,0.0111266449025607,0.475684940410498
237,usa,na,Skelly Stagefield AL,no,no,no,na, ,980989b9-72cd-4ea3-9060-134950cbb95e,Skelly Stagefield AL,act,usa,al,5.71654495615803E-05,0.0365848654132218
238,usa,na,NG Camp Beauregard,no,no,no,na, ,1735baa5-c3ed-4526-9a07-8667452d3d8a,NG Camp Beauregard,act,armyNationalGuard,la,0.000275437090294872,0.122868535832417
239,usa,na,Combat Capabilities Development Command Soldier Center,no,yes,no,na, ,63799d6b-e95b-4961-8cac-9234afd07d9f,Combat Capabilities Development Command Soldier Center,act,usa,ma,3.49843326148402E-05,0.0417161493968963
240,usa,na,NG Sparta Armory,no,no,no,na, ,671b5486-0564-417b-818a-7b4069750f10,NG Sparta Armory,act,armyNationalGuard,il,0.00110061862756083,0.22000808467888
241,usa,na,NG Spring City Readiness Center,no,no,no,na, ,1967d11e-4ed0-43ea-91f2-1267697fd531,NG Spring City Readiness Center,act,armyNationalGuard,pa,2.15231873426092E-05,0.0203117058293454
242,usa,na,NG Springfield (TS Cp Lincoln),no,no,no,na, ,5fc9e194-3fc1-4c6a-9db2-4c5e834bb4f2,NG Springfield (TS Cp Lincoln),act,armyNationalGuard,il,8.87049252469296E-05,0.0477254310797674
243,usa,na,NG St Cloud AASF,no,no,no,na, ,465214fc-984f-45bd-8c49-f292e5a0710f,NG St Cloud AASF,act,armyNationalGuard,mn,2.49753730365981E-05,0.021399017389272
244,usa,na,NG St Cloud NG Armory,no,no,no,na, ,91c5f07c-5128-40db-96d6-c47020c1f900,NG St Cloud NG Armory,act,armyNationalGuard,mn,3.02278294839198E-06,0.00975456718242309
245,usa,na,Stinson 5AB Stagefield AL,no,no,no,na, ,60235e7a-673d-4266-b803-8d9fdcf24295,Stinson 5AB Stagefield AL,act,usa,al,6.65201173433161E-05,0.0339613885033059
247,usa,na,Tac X Stagefield AL,no,no,no,na, ,f0ebdba2-d935-472a-aa03-2dd9421e61a9,Tac X Stagefield AL,act,usa,al,1.94594526874425E-05,0.0268243182550632
248,usa,na,Tobyhanna Army Depot,no,no,no,na, ,5ea90a1f-adc2-4122-b7b6-f1054538a04b,Tobyhanna Army Depot,act,usa,pa,0.000576723048197891,0.114266906895254
250,usa,na,Toth Stagefield AL,no,no,no,na, ,1a899174-0f05-44fb-b70b-abf7264d4453,Toth Stagefield AL,act,usa,al,4.66038495687826E-05,0.0289593792491566
251,usa,na,Tripler Army Medical Center,no,no,no,na, ,1ad64760-bd3a-4c56-b93f-29bdf3f7458d,Tripler Army Medical Center,act,usa,hi,0.000126479407420818,0.0527699131734342
252,usa,na,NG Los Alamitos JFTB,no,no,no,na, ,52c2280c-ce59-4dc8-9f4e-476a42aff3f6,NG Los Alamitos JFTB,act,armyNationalGuard,ca,0.000520192508702166,0.111671671905714
254,usa,na,NG TS Camp Johnson,no,no,no,na, ,17bf1778-8612-42c9-a088-a72977cb8d09,NG TS Camp Johnson,act,armyNationalGuard,vt,2.73356854449958E-05,0.0285255375584686
255,usa,na,NG TS Mark Twain Natl Forest Wapp,no,no,no,na, ,8269e01c-58d5-4123-af72-1df75d07dbea,NG TS Mark Twain Natl Forest Wapp,act,armyNationalGuard,mo,0.000837498835380757,0.167007508151299
258,usa,na,NG TS Keaukaha Mil Res,no,no,no,na, ,b54e8036-03f8-4d78-b59f-2edcfe3cc4ca,NG TS Keaukaha Mil Res,act,armyNationalGuard,hi,0.000175688810486463,0.100668839351777
259,usa,na,Joint Systems Manufacturing Center - Lima,no,yes,no,na, ,5385ae3a-d221-4885-894e-c4333e7ea91b,Joint Systems Manufacturing Center - Lima,act,usa,oh,0.000158945634666452,0.0622427550872863
260,usa,na,Adelphi Laboratory Center,no,yes,no,na, ,cb11c20f-011c-4df3-9fd3-e7054511637b,Adelphi Laboratory Center,act,usa,md,8.66115694861946E-05,0.0591907988327997
261,usa,na,USA Field Station Kunia,no,no,no,na, ,8cfdd716-4f83-49fc-90f5-1ad6615c73c0,USA Field Station Kunia,act,usa,hi,3.32210138367373E-05,0.0305726478491135
262,usa,na,Joliet USARC/JTA,no,no,no,na, ,ab842ed3-35ad-473a-9400-5fe63ea053bc,Joliet USARC/JTA,act,usar,il,0.00155748626765817,0.219544297684413
263,usa,na,USMCB Camp Pendleton,no,no,no,na, ,06e10670-e52e-4eda-8e48-a745c81b9484,USMCB Camp Pendleton,act,usar,ca,4.50557899966952E-06,0.00920702241681543
265,usa,na,NG VTS Catoosa,no,no,no,na, ,f6774b1b-2b8f-4576-8782-159d386bca6e,NG VTS Catoosa,act,armyNationalGuard,ga,0.000650641112997619,0.156127230047049
267,usa,na,NG VTS Smyrna,no,no,no,na, ,688453f5-dc28-4817-a817-db0089cecb9e,NG VTS Smyrna,act,armyNationalGuard,tn,0.00034862376332967,0.104995828622742
268,usa,na,W Silver Spring Complex,no,no,no,na, ,71d9f3c0-edd0-4616-bec0-49eadacac029,W Silver Spring Complex,act,usar,wi,5.64552676678431E-05,0.0362967739298646
272,usa,na,NG West Camp,no,no,no,na, ,f894d83e-0f9f-4d1e-819e-e57df7072bcb,NG West Camp,act,armyNationalGuard,sd,0.000347330525697805,0.0974266225970271
273,usa,na,West Point Military Reservation,no,no,no,na, ,7bdb8055-5cf0-4906-b5c3-c2bc78feeb48,West Point Military Reservation,act,usa,ny,0.0069054782104921,0.639529351298416
